time,BBL,BBM,BBU,Histogram,Histogram_before,Histogram_after,BBU_before,BBU_after,BBM_before,BBM_after,BBL_before,BBL_after,Cluster
10/05/2012,5765.923295641,6307.0,6848.076704359,64.56035957483374,79.46294591671237,-3.657643166,6809.951694313439,6880.60282977439,6279.5,6333.642857142857,5749.048305686561,5786.682884511326,1
11/05/2012,5767.9972677663645,6317.0,6866.0027322336355,44.32910090340687,72.01165274577306,-14.08135732,6829.0141993362195,6882.721089718035,6293.25,6342.857142857143,5757.4858006637805,5802.9931959962505,1
14/05/2012,5769.040951743935,6321.5,6873.959048256065,24.908337862552003,62.78413546498433,-22.96792275,6841.343710302025,6880.034360857849,6301.166666666667,6353.857142857143,5760.989623031309,5827.679924856437,1
15/05/2012,5781.702223036575,6330.5,6879.297776963425,3.1278153014341115,53.31518606437625,-29.46115525,6849.497544790534,6875.074036770311,6306.25,6364.857142857143,5763.002455209466,5854.640248943974,1
16/05/2012,5785.402380957556,6333.5,6881.597619042444,-13.89170365,43.27771191178782,-32.67923775,6855.457591225112,6868.879376868724,6311.1,6377.142857142857,5766.742408774888,5885.406337416991,1
17/05/2012,5788.687645911649,6337.5,6886.312354088351,-20.62149807,33.74947598550046,-34.23951653,6859.814262528002,6858.405184749791,6314.833333333333,6391.428571428572,5769.852404138665,5924.45195810735,1
18/05/2012,5786.294624366837,6336.0,6885.705375633163,-35.18016768,25.98219397712097,-33.23336351,6863.599704179481,6843.038821969197,6318.071428571428,6408.428571428572,5772.543152963378,5973.818320887947,1
21/05/2012,5827.6550977963625,6359.5,6891.3449022036375,-28.27538683,9.60460631979693,-32.6924855,6874.421658653727,6826.348907427667,6326.142857142857,6422.785714285715,5777.864055631988,6019.222521143762,1
22/05/2012,5882.169448160844,6381.5,6880.830551839156,-28.63689815,-3.657643166,-31.85006524,6880.602829774389,6809.4795599483505,6333.642857142857,6432.428571428572,5786.682884511326,6055.377582908792,1
23/05/2012,5941.848053765238,6398.5,6855.151946234762,-37.29762016,-14.08135732,-29.69619536,6882.721089718034,6791.968251418526,6342.857142857143,6437.214285714285,5802.9931959962505,6082.4603200100455,1
24/05/2012,5970.42449164933,6407.5,6844.57550835067,-42.32481218,-22.96792275,-26.94789624,6880.034360857848,6767.134929427535,6353.857142857143,6437.357142857143,5827.6799248564375,6107.57935628675,1
25/05/2012,6000.7650002686705,6419.5,6838.2349997313295,-36.41828117,-29.46115525,-25.00368814,6875.074036770313,6734.673665471717,6364.857142857143,6432.785714285715,5854.640248943974,6130.8977630997115,1
28/05/2012,6062.006990744174,6437.5,6812.993009255826,-31.54344954,-32.67923775,-23.3348946,6868.879376868725,6697.607138487315,6377.142857142857,6423.214285714285,5885.40633741699,6148.821432941257,1
29/05/2012,6131.859163831007,6455.0,6778.140836168993,-28.13709655,-34.23951653,-21.78185343,6858.405184749792,6657.773286597655,6391.428571428572,6409.071428571428,5924.45195810735,6160.369570545203,1
30/05/2012,6145.48449958707,6460.0,6774.51550041293,-24.48924076,-33.23336351,-20.69780371,6843.038821969196,6614.084382077024,6408.428571428572,6392.642857142857,5973.818320887947,6171.2013322086905,1
31/05/2012,6135.254880516053,6449.0,6762.745119483947,-22.73995632,-32.6924855,-19.64385767,6826.348907427667,6569.01944006956,6422.785714285715,6376.642857142857,6019.222521143762,6184.266274216156,1
01/06/2012,6131.427213474013,6432.0,6732.572786525987,-22.22053102,-31.85006524,-18.52808921,6809.479559948352,6527.921517737991,6432.428571428572,6362.642857142857,6055.377582908791,6197.364196547723,1
04/06/2012,6146.257745586268,6408.5,6670.742254413732,-23.08671831,-29.69619536,-17.11632854,6791.968251418526,6495.582690079137,6437.214285714285,6351.785714285715,6082.4603200100455,6207.988738492291,1
05/06/2012,6163.993847959398,6387.5,6611.006152040602,-22.80882453,-26.94789624,-15.91871331,6767.134929427535,6470.7417956019835,6437.357142857143,6342.928571428572,6107.57935628675,6215.11534725516,1
06/06/2012,6187.472679634988,6370.5,6553.527320365012,-19.86189471,-25.00368814,-14.97298738,6734.673665471716,6453.701802022274,6432.785714285715,6336.785714285715,6130.8977630997115,6219.869626549154,1
07/06/2012,6212.696127058628,6356.0,6499.303872941372,-17.26580838,-23.3348946,-13.92708656,6697.607138487314,6439.475783642425,6423.214285714285,6331.5,6148.821432941258,6223.524216357575,1
08/06/2012,6221.306831231483,6345.0,6468.693168768517,-16.90089274,-21.78185343,-12.56797899,6657.773286597653,6427.689162228647,6409.071428571428,6327.142857142857,6160.369570545202,6226.596552057068,1
11/06/2012,6226.709474568316,6337.0,6447.290525431684,-15.36233403,-20.69780371,-10.9639931,6614.084382077023,6418.848972622033,6392.642857142857,6324.428571428572,6171.201332208691,6230.00817023511,1
12/06/2012,6223.11266979498,6334.0,6444.88733020502,-14.41015178,-19.64385767,-9.265616665,6569.019440069557,6409.7590461175,6376.642857142857,6322.642857142857,6184.2662742161565,6235.526668168214,1
